random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
,,,v,0,3.03409,,0,78,78,86,1,cmp_shelves_051_toys_010,S4_shelves_051_toys_010.jpg,1,truck262.png,truck262.png,truck167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,1.057765,,0,79,79,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.09307,,0,80,80,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.653445,,0,81,81,75,1,cmp_jungle_011_bird_011,S4_jungle_011_bird_011.jpg,0,blank.png,blank.png,bird1369.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,1.43547,,0,82,82,0,1,cmp_shelves_044_toys_003,S1_shelves_044_toys_003.jpg,1,motorcycle341.png,motorcycle341.png,truck96.png,truck83.png,airplane19.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.988795,,0,83,83,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,0.91058,,0,84,84,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,0.90212,,0,85,85,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.81294,,0,86,86,39,1,cmp_mountain_017_sheep_005,S4_mountain_017_sheep_005.jpg,0,blank.png,blank.png,sheep1498.png,sheep1552.png,sheep1422.png,sheep1597.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,2.784095,,0,87,87,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
