random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_2.rt,key_resp_end.keys,key_resp_end.rt
,,,,,v,0,4.69,,0,86,86,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,4.358,space,0,87,87,103,1,cmp_shelves_014_bottle_003,S8_shelves_014_bottle_003.jpg,1,bottle244.png,bottle244.png,bottle465.png,bottle409.png,bottle197.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.524,,
,,,,,v,1,3.525,,0,88,88,91,1,cmp_building_017_cat_004,S4_building_017_cat_004.jpg,0,blank.png,blank.png,cat800.png,cat830.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.038,,0,89,89,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,3.169,,0,90,90,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.537,space,0,91,91,31,1,cmp_mountain_024_cow_004,S2_mountain_024_cow_004.jpg,0,blank.png,blank.png,cow289.png,cow337.png,cow306.png,cow452.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.48,,
,,,,,p,0,2.294,space,0,92,92,5,1,cmp_building_033_cat_012,S1_building_033_cat_012.jpg,1,cat1997.png,cat1997.png,cat1953.png,cat1921.png,cat1927.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.573,,
,,,,,p,0,3.827,space,0,93,93,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.498,,
,,,,,p,0,4.363,space,0,94,94,52,1,cmp_building_022_cat_009,S4_building_022_cat_009.jpg,0,blank.png,blank.png,cat1624.png,cat1707.png,cat1761.png,cat1792.png,cat1636.png,cat1650.png,cat1793.png,cat1757.png,0,4,8,8,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.603,,
,,,,,v,1,4.875,,0,95,95,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
