trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,blueOpacity,orangeOpacity,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,instr_text_2.started,instr_text_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,instr_text.started,instr_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,Instructions.started,Instructions.stopped,fix_ini.started,fix_ini.stopped,fix_trial.started,fix_trial.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,Instructions_2.started,Instructions_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
57,different,4,0.14,0.41,black,1,0.14,-0.14,blue,1,-0.41,-0.14,red,1,-0.41,0.14,orange,1,0.41,0.41,magenta,0,0.41,-0.14,white,0,-0.14,-0.27,yellow,0,-0.27,0.41,green,0,0.05,0.05,0.15,-0.41,0.14,blue,l,,,,,,,0,16,16,56,,,,,,,,,,,,,,,,,,,,l,1,1.0003509759990266,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
17,same,4,0.41,0.27,white,1,0.41,-0.41,black,1,-0.14,-0.27,magenta,1,-0.14,0.41,green,1,0.14,0.14,orange,0,0.14,-0.41,yellow,0,-0.14,-0.41,red,0,-0.27,0.14,blue,0,0.05,0.05,0.15,-0.14,0.41,green,k,,,,,,,0,17,17,16,,,,,,,,,,,,,,,,,,,,k,1,1.2356782919960096,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
100,different,8,0.41,0.27,black,1,0.41,-0.27,red,1,-0.14,-0.27,magenta,1,-0.14,0.27,orange,1,0.14,0.27,blue,1,0.27,-0.14,yellow,1,-0.41,-0.14,white,1,-0.41,0.14,green,1,0.05,0.05,0.15,0.41,0.27,orange,l,,,,,,,0,18,18,99,,,,,,,,,,,,,,,,,,,,l,1,1.2341086710002855,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
1,same,4,0.14,0.14,magenta,1,0.27,-0.14,blue,1,-0.27,-0.14,black,1,-0.27,0.27,green,1,0.41,0.41,red,0,0.27,-0.27,white,0,-0.14,-0.14,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,0.14,0.14,magenta,k,,,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,k,1,0.8670455899991794,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
104,different,8,0.41,0.41,white,1,0.41,-0.41,blue,1,-0.27,-0.14,green,1,-0.27,0.14,orange,1,0.14,0.41,red,1,0.27,-0.27,yellow,1,-0.41,-0.27,magenta,1,-0.14,0.41,black,1,0.05,0.05,0.15,-0.14,0.41,magenta,l,,,,,,,0,20,20,103,,,,,,,,,,,,,,,,,,,,l,1,1.1676505790019291,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
47,different,4,0.27,0.27,magenta,1,0.41,-0.27,black,1,-0.14,-0.41,red,1,-0.14,0.41,green,1,0.41,0.41,white,0,0.27,-0.14,orange,0,-0.27,-0.14,blue,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.27,0.27,blue,l,,,,,,,0,21,21,46,,,,,,,,,,,,,,,,,,,,l,1,0.9177976479986683,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
46,different,4,0.14,0.14,red,1,0.14,-0.14,green,1,-0.14,-0.41,orange,1,-0.27,0.41,blue,1,0.41,0.27,white,0,0.14,-0.27,magenta,0,-0.14,-0.14,black,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,-0.14,-0.41,blue,l,,,,,,,0,22,22,45,,,,,,,,,,,,,,,,,,,,l,1,1.1846137879983871,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
20,same,4,0.27,0.14,white,1,0.14,-0.14,orange,1,-0.27,-0.27,green,1,-0.41,0.27,yellow,1,0.14,0.41,black,0,0.41,-0.41,red,0,-0.27,-0.41,magenta,0,-0.27,0.27,blue,0,0.05,0.05,0.15,-0.27,-0.27,green,k,,,,,,,0,23,23,19,,,,,,,,,,,,,,,,,,,,l,0,1.1676726700025029,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
117,different,8,0.14,0.41,black,1,0.14,-0.41,white,1,-0.41,-0.27,magenta,1,-0.27,0.41,yellow,1,0.41,0.27,orange,1,0.41,-0.14,red,1,-0.27,-0.27,green,1,-0.14,0.14,blue,1,0.05,0.05,0.15,0.41,-0.14,black,l,,,,,,,0,24,24,116,,,,,,,,,,,,,,,,,,,,l,1,0.9182782539937762,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
39,different,4,0.41,0.27,green,1,0.41,-0.27,yellow,1,-0.27,-0.27,orange,1,-0.14,0.14,white,1,0.14,0.14,magenta,0,0.27,-0.41,blue,0,-0.14,-0.27,red,0,-0.41,0.27,black,0,0.05,0.05,0.15,-0.14,0.14,green,l,,,,,,,0,25,25,38,,,,,,,,,,,,,,,,,,,,l,1,1.1341150809967075,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
