trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
26,same,4,0.14,0.14,black,1,0.14,-0.14,red,1,-0.41,-0.14,yellow,1,-0.14,0.41,orange,1,0.27,0.14,blue,0,0.14,-0.27,magenta,0,-0.27,-0.41,green,0,-0.14,0.27,white,0,0.05,0.05,0.15,-0.41,-0.14,yellow,k,1.0,1.0,1.0,0.0,'k',1.6170339584350586,1.6170339584350586,0.0,2.0
27,same,4,0.27,0.27,yellow,1,0.27,-0.27,green,1,-0.27,-0.41,white,1,-0.14,0.41,black,1,0.14,0.41,blue,0,0.41,-0.14,red,0,-0.14,-0.14,orange,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,0.27,-0.27,green,k,1.0,0.0,0.0,0.0,'l',1.3179625272750854,1.3179625272750854,0.0,95.0
28,same,4,0.41,0.41,magenta,1,0.27,-0.14,blue,1,-0.14,-0.14,red,1,-0.14,0.41,orange,1,0.14,0.14,black,0,0.41,-0.14,green,0,-0.27,-0.14,yellow,0,-0.14,0.27,white,0,0.05,0.05,0.15,0.27,-0.14,blue,k,1.0,0.0,0.0,0.0,'l',1.452035903930664,1.452035903930664,0.0,94.0
29,same,4,0.14,0.27,black,1,0.41,-0.14,blue,1,-0.41,-0.14,magenta,1,-0.27,0.27,green,1,0.27,0.27,yellow,0,0.41,-0.41,orange,0,-0.41,-0.27,white,0,-0.14,0.14,red,0,0.05,0.05,0.15,0.41,-0.14,blue,k,1.0,0.0,0.0,0.0,'l',1.0003985166549683,1.0003985166549683,0.0,50.0
30,same,4,0.14,0.41,black,1,0.41,-0.27,yellow,1,-0.14,-0.27,green,1,-0.41,0.14,orange,1,0.41,0.27,blue,0,0.14,-0.41,magenta,0,-0.27,-0.27,white,0,-0.41,0.41,red,0,0.05,0.05,0.15,0.14,0.41,black,k,1.0,1.0,1.0,0.0,'k',1.0338560342788696,1.0338560342788696,0.0,44.0
31,different,4,0.27,0.41,orange,1,0.14,-0.14,black,1,-0.41,-0.41,yellow,1,-0.41,0.27,white,1,0.27,0.14,green,0,0.41,-0.27,blue,0,-0.14,-0.41,red,0,-0.41,0.14,magenta,0,0.05,0.05,0.15,-0.41,0.27,yellow,l,1.0,1.0,1.0,0.0,'l',0.8348248600959778,0.8348248600959778,0.0,55.0
32,different,4,0.41,0.27,orange,1,0.41,-0.41,green,1,-0.14,-0.14,white,1,-0.41,0.41,red,1,0.27,0.41,black,0,0.27,-0.41,magenta,0,-0.27,-0.14,blue,0,-0.14,0.14,yellow,0,0.05,0.05,0.15,-0.14,-0.14,blue,l,1.0,1.0,1.0,0.0,'l',0.8505427241325378,0.8505427241325378,0.0,96.0
33,different,4,0.27,0.41,magenta,1,0.41,-0.41,red,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.14,0.41,blue,0,0.14,-0.41,orange,0,-0.41,-0.14,white,0,-0.41,0.27,green,0,0.05,0.05,0.15,0.27,0.41,black,l,1.0,1.0,1.0,0.0,'l',1.1340290307998657,1.1340290307998657,0.0,60.0
34,different,4,0.14,0.14,white,1,0.14,-0.14,magenta,1,-0.41,-0.41,black,1,-0.41,0.14,yellow,1,0.27,0.27,orange,0,0.14,-0.41,green,0,-0.41,-0.14,red,0,-0.14,0.14,blue,0,0.05,0.05,0.15,0.14,-0.14,white,l,1.0,1.0,1.0,0.0,'l',1.150048017501831,1.150048017501831,0.0,78.0
35,different,4,0.27,0.41,orange,1,0.41,-0.14,white,1,-0.27,-0.27,green,1,-0.14,0.27,yellow,1,0.41,0.27,black,0,0.41,-0.41,magenta,0,-0.14,-0.14,blue,0,-0.27,0.14,red,0,0.05,0.05,0.15,-0.14,0.27,blue,l,1.0,1.0,1.0,0.0,'l',0.9065449237823486,0.9065449237823486,0.0,114.0
