key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials_train.ran,trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,CDT_trials.ran
,,,,,,,,,,68,same,6,0.16426754,-0.054755847,blue,1,-0.054755847,-0.16426754,orange,1,-0.16426754,0.054755847,red,1,0.16426754,0.273779233,magenta,1,0.054755847,-0.054755847,black,1,-0.273779233,-0.273779233,yellow,1,0.05,0.05,0.15,-0.054755847,-0.16426754,orange,k,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,k,1,1.328295,0,13,13,67,1
,,,,,,,,,,115,different,6,-0.16426754,0.273779233,magenta,1,-0.273779233,-0.054755847,blue,1,0.273779233,0.273779233,red,1,0.054755847,-0.273779233,cyan,1,-0.054755847,0.16426754,green,1,-0.273779233,-0.273779233,yellow,1,0.05,0.05,0.15,-0.273779233,-0.054755847,yellow,l,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,l,1,1.000875,0,14,14,114,1
,,,,,,,,,,76,same,6,0.16426754,0.054755847,cyan,1,0.273779233,-0.273779233,red,1,-0.054755847,-0.273779233,magenta,1,-0.054755847,0.16426754,yellow,1,0.054755847,0.273779233,blue,1,0.054755847,-0.273779233,green,1,0.05,0.05,0.15,0.16426754,0.054755847,cyan,k,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,l,0,1.27076,0,15,15,75,1
,,,,,,,,,,103,different,6,-0.273779233,-0.16426754,black,1,0.273779233,-0.054755847,cyan,1,0.054755847,0.273779233,magenta,1,-0.054755847,0.16426754,orange,1,-0.16426754,-0.16426754,green,1,0.273779233,-0.16426754,red,1,0.05,0.05,0.15,-0.273779233,-0.16426754,blue,l,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,k,0,0.610285,0,16,16,102,1
,,,,,,,,,,2,same,4,0.273779233,0.054755847,magenta,1,-0.273779233,0.273779233,red,1,-0.054755847,-0.054755847,yellow,1,0.273779233,-0.273779233,blue,1,0.054755847,0.16426754,green,0,-0.16426754,0.054755847,cyan,0,0.05,0.05,0.15,0.273779233,-0.273779233,blue,k,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,k,1,1.189615,0,17,17,1,1
,,,,,,,,,,63,same,6,-0.273779233,0.273779233,red,1,-0.273779233,-0.16426754,orange,1,0.054755847,-0.273779233,black,1,0.16426754,0.16426754,cyan,1,-0.054755847,0.054755847,blue,1,-0.273779233,-0.054755847,magenta,1,0.05,0.05,0.15,-0.273779233,-0.054755847,magenta,k,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,k,1,0.576455,0,18,18,62,1
,,,,,,,,,,119,different,6,-0.273779233,0.054755847,cyan,1,-0.273779233,-0.273779233,blue,1,0.16426754,0.054755847,orange,1,0.054755847,-0.16426754,yellow,1,-0.273779233,0.273779233,black,1,-0.054755847,-0.054755847,green,1,0.05,0.05,0.15,-0.273779233,-0.273779233,cyan,l,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,l,1,0.90878,0,19,19,118,1
,,,,,,,,,,108,different,6,-0.273779233,-0.054755847,magenta,1,0.054755847,0.16426754,red,1,-0.16426754,0.054755847,cyan,1,0.054755847,-0.273779233,green,1,-0.273779233,-0.16426754,orange,1,0.273779233,0.273779233,black,1,0.05,0.05,0.15,-0.273779233,-0.054755847,blue,l,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,l,1,0.719855,0,20,20,107,1
,,,,,,,,,,111,different,6,0.273779233,0.273779233,green,1,0.054755847,-0.16426754,red,1,-0.16426754,-0.16426754,black,1,-0.16426754,0.16426754,magenta,1,0.054755847,0.054755847,blue,1,0.273779233,-0.16426754,yellow,1,0.05,0.05,0.15,0.273779233,-0.16426754,green,l,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,l,1,0.61709,0,21,21,110,1
,,,,,,,,,,82,same,6,-0.054755847,-0.16426754,red,1,0.273779233,-0.054755847,cyan,1,0.16426754,0.273779233,blue,1,-0.054755847,0.054755847,black,1,-0.16426754,-0.16426754,yellow,1,0.273779233,-0.16426754,green,1,0.05,0.05,0.15,-0.16426754,-0.16426754,yellow,k,478073,23,2020-08-14_11h00.37.625,CDT_GNG_IUS12,2020.1.2,Win32,60,,k,1,0.52337,0,22,22,81,1
