blueOpacity,orangeOpacity,corrAns,n,fix_trial.started_mean,fix_trial.started_raw,fix_trial.started_std,fix_trial.stopped_raw,trialBlue.started_mean,trialBlue.started_raw,trialBlue.started_std,trialBlue.stopped_mean,trialBlue.stopped_raw,trialBlue.stopped_std,trialOrange.started_mean,trialOrange.started_raw,trialOrange.started_std,trialOrange.stopped_mean,trialOrange.stopped_raw,trialOrange.stopped_std,trialResp.corr_mean,trialResp.corr_raw,trialResp.corr_std,trialResp.keys_raw,trialResp.rt_mean,trialResp.rt_raw,trialResp.rt_std,trialResp.started_mean,trialResp.started_raw,trialResp.started_std,trialResp.stopped_raw,order
1,0,space,1.0,528.52734375,528.52734375,0.0,,528.52734375,528.52734375,0.0,528.7261352539062,528.7261352539062,0.0,528.52734375,528.52734375,0.0,528.7261352539062,528.7261352539062,0.0,1.0,1.0,0.0,'space',0.8659193515777588,0.8659193515777588,0.0,528.52734375,528.52734375,0.0,,37.0
1,0,space,1.0,503.5403137207031,503.5403137207031,0.0,,503.5403137207031,503.5403137207031,0.0,503.7413635253906,503.7413635253906,0.0,503.5403137207031,503.5403137207031,0.0,503.7413635253906,503.7413635253906,0.0,1.0,1.0,0.0,'space',0.3849485218524933,0.3849485218524933,0.0,503.5403137207031,503.5403137207031,0.0,,12.0
1,0,space,1.0,522.5425415039062,522.5425415039062,0.0,,522.5425415039062,522.5425415039062,0.0,522.7423706054688,522.7423706054688,0.0,522.5425415039062,522.5425415039062,0.0,522.7423706054688,522.7423706054688,0.0,1.0,1.0,0.0,'space',0.7007369995117188,0.7007369995117188,0.0,522.5425415039062,522.5425415039062,0.0,,31.0
1,0,space,1.0,517.5425415039062,517.5425415039062,0.0,,517.5425415039062,517.5425415039062,0.0,517.7420654296875,517.7420654296875,0.0,517.5425415039062,517.5425415039062,0.0,517.7420654296875,517.7420654296875,0.0,1.0,1.0,0.0,'space',0.6342847347259521,0.6342847347259521,0.0,517.5425415039062,517.5425415039062,0.0,,26.0
1,0,space,1.0,498.5400390625,498.5400390625,0.0,,498.5400390625,498.5400390625,0.0,498.7410888671875,498.7410888671875,0.0,498.5400390625,498.5400390625,0.0,498.7410888671875,498.7410888671875,0.0,1.0,1.0,0.0,'space',0.368844211101532,0.368844211101532,0.0,498.5400390625,498.5400390625,0.0,,7.0
1,0,space,1.0,491.552001953125,491.552001953125,0.0,,491.552001953125,491.552001953125,0.0,491.7573547363281,491.7573547363281,0.0,491.552001953125,491.552001953125,0.0,491.7573547363281,491.7573547363281,0.0,1.0,1.0,0.0,'space',0.6568951606750488,0.6568951606750488,0.0,491.552001953125,491.552001953125,0.0,,0.0
1,0,space,1.0,512.5421142578125,512.5421142578125,0.0,,512.5421142578125,512.5421142578125,0.0,512.7421264648438,512.7421264648438,0.0,512.5421142578125,512.5421142578125,0.0,512.7421264648438,512.7421264648438,0.0,1.0,1.0,0.0,'space',0.5000999569892883,0.5000999569892883,0.0,512.5421142578125,512.5421142578125,0.0,,21.0
1,0,space,1.0,514.54248046875,514.54248046875,0.0,,514.54248046875,514.54248046875,0.0,514.7420043945312,514.7420043945312,0.0,514.54248046875,514.54248046875,0.0,514.7420043945312,514.7420043945312,0.0,1.0,1.0,0.0,'space',0.6166393160820007,0.6166393160820007,0.0,514.54248046875,514.54248046875,0.0,,23.0
1,0,space,1.0,537.5267333984375,537.5267333984375,0.0,,537.5267333984375,537.5267333984375,0.0,537.7266235351562,537.7266235351562,0.0,537.5267333984375,537.5267333984375,0.0,537.7266235351562,537.7266235351562,0.0,1.0,1.0,0.0,'space',0.6512500643730164,0.6512500643730164,0.0,537.5267333984375,537.5267333984375,0.0,,46.0
1,0,space,1.0,518.5430297851562,518.5430297851562,0.0,,518.5430297851562,518.5430297851562,0.0,518.7421264648438,518.7421264648438,0.0,518.5430297851562,518.5430297851562,0.0,518.7421264648438,518.7421264648438,0.0,1.0,1.0,0.0,'space',0.9664118885993958,0.9664118885993958,0.0,518.5430297851562,518.5430297851562,0.0,,27.0
1,0,space,1.0,521.5269775390625,521.5269775390625,0.0,,521.5269775390625,521.5269775390625,0.0,521.7411499023438,521.7411499023438,0.0,521.5269775390625,521.5269775390625,0.0,521.7411499023438,521.7411499023438,0.0,1.0,1.0,0.0,'space',0.5478246212005615,0.5478246212005615,0.0,521.5269775390625,521.5269775390625,0.0,,30.0
1,0,space,1.0,526.5289306640625,526.5289306640625,0.0,,526.5289306640625,526.5289306640625,0.0,526.7426147460938,526.7426147460938,0.0,526.5289306640625,526.5289306640625,0.0,526.7426147460938,526.7426147460938,0.0,1.0,1.0,0.0,'space',0.5142147541046143,0.5142147541046143,0.0,526.5289306640625,526.5289306640625,0.0,,35.0
1,0,space,1.0,533.52685546875,533.52685546875,0.0,,533.52685546875,533.52685546875,0.0,533.7263793945312,533.7263793945312,0.0,533.52685546875,533.52685546875,0.0,533.7263793945312,533.7263793945312,0.0,1.0,1.0,0.0,'space',0.8505839705467224,0.8505839705467224,0.0,533.52685546875,533.52685546875,0.0,,42.0
1,0,space,1.0,496.5418395996094,496.5418395996094,0.0,,496.5418395996094,496.5418395996094,0.0,496.7411193847656,496.7411193847656,0.0,496.5418395996094,496.5418395996094,0.0,496.7411193847656,496.7411193847656,0.0,1.0,1.0,0.0,'space',0.31682538986206055,0.31682538986206055,0.0,496.5418395996094,496.5418395996094,0.0,,5.0
1,0,space,1.0,493.5421142578125,493.5421142578125,0.0,,493.5421142578125,493.5421142578125,0.0,493.7411804199219,493.7411804199219,0.0,493.5421142578125,493.5421142578125,0.0,493.7411804199219,493.7411804199219,0.0,1.0,1.0,0.0,'space',0.44906988739967346,0.44906988739967346,0.0,493.5421142578125,493.5421142578125,0.0,,2.0
1,0,space,1.0,511.5419616699219,511.5419616699219,0.0,,511.5419616699219,511.5419616699219,0.0,511.74169921875,511.74169921875,0.0,511.5419616699219,511.5419616699219,0.0,511.74169921875,511.74169921875,0.0,1.0,1.0,0.0,'space',0.4010627269744873,0.4010627269744873,0.0,511.5419616699219,511.5419616699219,0.0,,20.0
