random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_end.keys,key_resp_end.rt
,,,,,v,1,,0,23,23,95,1,cmp_mountain_013_bird_001,S4_mountain_013_bird_001.jpg,0,blank.png,blank.png,bird152.png,bird403.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.50447,,
,,,,,m,1,,0,24,24,1,1,cmp_building_028_person_014,S1_building_028_person_014.jpg,1,person1293.png,person1293.png,person1501.png,person1447.png,person1485.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.80887,,
,,,,,m,0,,0,25,25,109,1,cmp_building_023_cat_010,S8_building_023_cat_010.jpg,0,blank.png,blank.png,cat1497.png,cat1551.png,cat1592.png,cat1671.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.514145,,
,,,,,m,1,,0,26,26,64,1,cmp_stadium_001_person_001,S4_stadium_001_person_001.jpg,1,stadium_001_person_010.png,stadium_001_person_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.9909,,
,,,,,v,1,,0,27,27,20,1,cmp_jungle_004_bird_004,S2_jungle_004_bird_004.jpg,0,blank.png,blank.png,bird224.png,bird133.png,bird244.png,bird131.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.74715,,
,,,,,v,1,,0,28,28,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.36892,,
,,,,,v,0,,0,29,29,101,1,cmp_building_051_bird_007,S8_building_051_bird_007.jpg,1,bird596.png,bird596.png,bird663.png,bird540.png,bird661.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.22701,,
,,,,,v,1,,0,30,30,110,1,cmp_mountain_016_sheep_004,S8_mountain_016_sheep_004.jpg,0,blank.png,blank.png,sheep1420.png,sheep1560.png,sheep1768.png,sheep1774.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.0184,,
,,,,,v,1,,0,31,31,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.100935,,
,,,,,v,0,,0,32,32,6,1,cmp_building_043_dog_011,S1_building_043_dog_011.jpg,1,dog1389.png,dog1389.png,dog1385.png,dog1267.png,dog1402.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.59624,,
,,,,,m,1,,0,33,33,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.774175,,
,,,,,v,0,,0,34,34,61,1,cmp_building_042_dog_010,S4_building_042_dog_010.jpg,1,dog495.png,dog495.png,dog1126.png,dog1176.png,dog508.png,dog518.png,dog780.png,dog872.png,dog948.png,blank.png,0,4,8,8,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.815325,,
